Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 23.21      3.61     3.61                             electric_field (electrostatics.c:189 @ 804caf0)
  6.83      4.67     1.06                             fftw_hc2hc_forward_generic
  5.76      5.56     0.90                             fftw_no_twiddle_11
  4.99      6.34     0.78                             fftw_hc2hc_backward_generic
  4.89      7.10     0.76                             fftw
  4.64      7.82     0.72                             fftw_twiddle_generic
  3.83      8.41     0.60                             fftw_no_twiddle_10
  3.54      8.96     0.55                             fftw_no_twiddle_5
  3.35      9.48     0.52                             electric_field (electrostatics.c:193 @ 804cb2b)
  3.12      9.97     0.49                             fftw_executor_simple
  3.06     10.44     0.48                             electric_field (electrostatics.c:205 @ 804cb55)
  2.90     10.89     0.45                             electric_field (electrostatics.c:187 @ 804cb65)
  2.45     11.27     0.38                             fftw_twiddle_rader
  2.06     11.59     0.32                             fftw_no_twiddle_2
  2.03     11.91     0.32                             __udivmoddi4 (libgcc2.c:881 @ 8096121)
  1.93     12.21     0.30                             fftw_twiddle_6
  1.87     12.50     0.29                             fftwi_twiddle_generic
  1.84     12.78     0.29                             executor_many
  1.51     13.02     0.24                             electric_field (electrostatics.c:187 @ 804cad9)
  1.48     13.25     0.23                             fftw_twiddle_2
  1.35     13.46     0.21                             fftw_twiddle_5
  1.16     13.64     0.18                             fftw_measure_runtime
  0.93     13.78     0.15                             fftw_twiddle_3
  0.90     13.92     0.14                             fftw_no_twiddle_6
  0.90     14.06     0.14                             rfftw
  0.71     14.17     0.11                             fftwi_no_twiddle_2
  0.71     14.28     0.11                             fftwi_twiddle_rader
  0.68     14.39     0.11                             fftw_no_twiddle_1
  0.68     14.49     0.11                             fftw_no_twiddle_3
  0.55     14.58     0.09                             __moddi3 (libgcc2.c:1100 @ 80960c0)
  0.55     14.66     0.09                             rfftw_executor_simple
  0.45     14.73     0.07                             fftw_strided_copy
  0.45     14.80     0.07                             rfftw_measure_runtime
  0.32     14.85     0.05                             rexecutor_many
  0.29     14.90     0.05                             fftw_real2hc_1
  0.23     14.93     0.04                             __moddi3 (libgcc2.c:1117 @ 8096149)
  0.23     14.97     0.04                             __udivmoddi4 (libgcc2.c:903 @ 8096129)
  0.23     15.00     0.04                             surface_grid (grid.c:150 @ 804d878)
  0.19     15.03     0.03                             fftw_hc2real_1
  0.19     15.06     0.03                             surface_grid (grid.c:152 @ 804d886)
  0.13     15.08     0.02                             __udivmoddi4 (libgcc2.c:862 @ 8096103)
  0.13     15.10     0.02                             electric_field (electrostatics.c:183 @ 804cab9)
  0.13     15.12     0.02                             surface_grid (grid.c:148 @ 804d89a)
